id,content,score,product_code,provider_name,car_model_name
133986.0,주차패스로 출차하니 빨라서 좋아요,5,PARKING,여의도한강공원 3주차장,모델 X
116826.0,비싸긴 비싸네요. ,5,PARKING,하이파킹 판교알파돔타워,모델 X
159478.0,간편하게 이용할 수 있어서 좋았어요!^^,5,PARKING,에******,iX3
109679.0,주차장 넓고 아주 좋았읍니다,5,PARKING,대구삼덕동 주차장,K3
152983.0,"너무 좁지도 그렇다고 넓지도 않은 평범한 빌딩 주차장, 자리는 한두개씩은 있네요. ",5,PARKING,하이파킹 수내N타워가든,기타
86454.0,할인받아 좋았습니다,5,PARKING,에버랜드 정문 주차장,K3
159709.0,자동으로 차단기가 올라가면 좋을거 같습니다.,5,PARKING,인******,CC
137123.0,카카오주차로 늘 편하게 이용할 수 있어 좋아요,5,PARKING,현대백화점 판교점 주차장,베뉴
162742.0,"포화상태
30분회차불가!
",5,PARKING,안******,기타
108753.0,"주말 4,000원 싸네요",5,PARKING,하이파킹 공덕푸르지오시티,기타
133986.0,주차패스로 출차하니 빨라서 좋아요,5,PARKING,여의도한강공원 3주차장,기타
116826.0,비싸긴 비싸네요. ,5,PARKING,하이파킹 판교알파돔타워,기타
108753.0,"주말 4,000원 싸네요",5,PARKING,하이파킹 공덕푸르지오시티,기타
133986.0,주차패스로 출차하니 빨라서 좋아요,5,PARKING,여의도한강공원 3주차장,기타
116826.0,비싸긴 비싸네요. ,5,PARKING,하이파킹 판교알파돔타워,기타
108753.0,"주말 4,000원 싸네요",5,PARKING,하이파킹 공덕푸르지오시티,A4
133986.0,주차패스로 출차하니 빨라서 좋아요,5,PARKING,여의도한강공원 3주차장,A4
116826.0,비싸긴 비싸네요. ,5,PARKING,하이파킹 판교알파돔타워,A4
157623.0,"생각보다 시설이 깔끔하지만, 중형suv이상은 코너돌 땐 폭이 생각보다 적어서 참고하셔야 합니다!
또 서울숲오면 이쪽에 파킹할 것 같아요~",5,PARKING,카******,기타
108753.0,"주말 4,000원 싸네요",5,PARKING,하이파킹 공덕푸르지오시티,기타
133986.0,주차패스로 출차하니 빨라서 좋아요,5,PARKING,여의도한강공원 3주차장,기타
116826.0,비싸긴 비싸네요. ,5,PARKING,하이파킹 판교알파돔타워,기타
108753.0,"주말 4,000원 싸네요",5,PARKING,하이파킹 공덕푸르지오시티,기타
133986.0,주차패스로 출차하니 빨라서 좋아요,5,PARKING,여의도한강공원 3주차장,기타
116826.0,비싸긴 비싸네요. ,5,PARKING,하이파킹 판교알파돔타워,기타
108753.0,"주말 4,000원 싸네요",5,PARKING,하이파킹 공덕푸르지오시티,기타
133986.0,주차패스로 출차하니 빨라서 좋아요,5,PARKING,여의도한강공원 3주차장,기타
116826.0,비싸긴 비싸네요. ,5,PARKING,하이파킹 판교알파돔타워,기타
108753.0,"주말 4,000원 싸네요",5,PARKING,하이파킹 공덕푸르지오시티,기타
133986.0,주차패스로 출차하니 빨라서 좋아요,5,PARKING,여의도한강공원 3주차장,기타
116826.0,비싸긴 비싸네요. ,5,PARKING,하이파킹 판교알파돔타워,기타
108753.0,"주말 4,000원 싸네요",5,PARKING,하이파킹 공덕푸르지오시티,기타
133986.0,주차패스로 출차하니 빨라서 좋아요,5,PARKING,여의도한강공원 3주차장,기타
116826.0,비싸긴 비싸네요. ,5,PARKING,하이파킹 판교알파돔타워,기타
108753.0,"주말 4,000원 싸네요",5,PARKING,하이파킹 공덕푸르지오시티,A4
